pam 1.7.0-2
pambase 20230918-2
pango 1:1.56.3-1
pangomm 2.46.4-1
papirus-icon-theme 20250501-1
parted 3.6-2
patch 2.8-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.3-1
perl 5.40.2-1
perl-common-sense 3.75-8
perl-error 0.17030-1
perl-json-xs 4.03-6
perl-mailtools 2.22-1
perl-timedate 2.33-7
perl-types-serialiser 1.01-4
picom 12.5-2
pinentry 1.3.1-5
pipewire 1:1.4.2-1
pipewire-alsa 1:1.4.2-1
pipewire-audio 1:1.4.2-1
pipewire-jack 1:1.4.2-1
pipewire-pulse 1:1.4.2-1
pixman 0.46.0-1
pkgconf 2.4.3-1
playerctl 2.4.1-4
polkit 126-2
polkit-gnome 0.105-11
polkit-kde-agent 6.3.5-1
polkit-qt6 0.200.0-1
poppler 25.05.0-1
poppler-data 0.4.12-2
poppler-glib 25.05.0-1
popt 1.19-2
portaudio 1:19.7.0-3
potrace 1.16-3
power-profiles-daemon 0.30-1
procps-ng 4.0.5-3
protobuf 30.2-3
psmisc 23.7-1
python 3.13.3-1
python-appdirs 1.4.4-11
python-attrs 24.1.0-1
python-beautifulsoup4 4.13.3-1
python-cachecontrol 1:0.14.3-1
python-cairo 1.28.0-1
python-certifi 2025.04.26-1
python-cffi 1.17.1-2
python-chardet 5.2.0-6
python-charset-normalizer 3.4.2-1
python-click 8.1.8-1
python-coverage 7.8.0-1
python-cryptography 44.0.3-1
python-cssselect 1.2.0-8
python-dateutil 2.9.0-6
python-dbus 1.4.0-1
python-filelock 3.18.0-1
python-gobject 3.52.3-3
python-greenlet 3.2.1-1
python-idna 3.10-2
python-imageio 2.37.0-3
python-imageio-ffmpeg 0.6.0-2
python-lockfile 0.12.2-14
python-lxml 5.4.0-1
python-msgpack 1.0.5-3
python-numpy 2.2.6-1
python-packaging 25.0-1
python-pillow 11.2.1-1
python-pip 25.1.1-1
python-platformdirs 4.3.6-2
python-pycparser 2.22-3
python-pyfiglet 1.0.2-3
python-pynvim 0.5.2-1
python-pyserial 3.5-7
python-pyxdg 0.28-4
python-requests 2.32.3-4
python-screeninfo 0.8.1-2
python-six 1.17.0-1
python-soupsieve 2.6-2
python-typing_extensions 4.13.2-1
python-urllib3 2.4.0-1
python-wheel 0.45.1-1
python-zstandard 0.23.0-2
qt5-base 5.15.16+kde+r131-1
qt5-declarative 5.15.16+kde+r22-3
qt5-translations 5.15.16-3
qt5-wayland 5.15.16+kde+r60-1
qt6-5compat 6.9.0-1
qt6-base 6.9.0-1
qt6-declarative 6.9.0-2
qt6-imageformats 6.9.0-1
qt6-multimedia 6.9.0-1
qt6-multimedia-ffmpeg 6.9.0-1
qt6-positioning 6.9.0-1
qt6-shadertools 6.9.0-1
qt6-svg 6.9.0-1
qt6-translations 6.9.0-1
qt6-wayland 6.9.0-2
qt6-webchannel 6.9.0-1
qt6-webengine 6.9.0-7
qt6ct 0.10-3
quazip-qt6 1.5-1
ragel 6.10-4
ranger 1.9.4-4
rav1e 0.7.1-1
